trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 1e-05 5 0.99916 12.00000 0.99916 11.99902 0.99916 11.97296 0.99653 11.50672 0.99458 5.68553 0.95034 1.68569 
100 0.0 5 100 1e-05 5 0.99916 12.00000 0.99916 11.99493 0.98865 11.53809 0.98540 10.21590 0.97397 3.89273 0.94194 1.74463 
100 0.0 5 100 0.01 5 0.99916 11.99902 0.99916 11.98712 0.99604 11.53626 0.99751 7.81259 0.98526 2.71213 0.97403 1.02168 
100 0.0 5 100 0.01 5 0.99916 11.99902 0.99916 11.99737 0.98765 11.33505 0.98431 10.33940 0.99098 4.29132 0.95869 1.86210 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99902 0.99818 11.89011 0.98455 11.07004 0.96080 5.41381 0.91529 1.84302 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.98321 0.97092 11.19625 0.99098 10.94191 0.97552 7.56408 0.89864 2.46936 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99072 0.99916 11.92419 0.99302 10.24638 0.98255 3.01745 0.96822 1.64637 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99737 0.99867 11.94488 0.99439 10.90212 0.97867 5.66136 0.90979 1.50897 
100 0.0 5 100 0.01 5 0.99916 11.99902 0.99916 11.98419 0.99867 11.41987 0.99867 7.89450 0.99675 2.36573 0.99411 1.29211 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.98273 0.97735 9.91964 0.98615 7.99663 0.98677 3.01401 0.96604 1.63501 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99249 0.99149 10.92098 0.99378 5.87317 0.98994 2.73705 0.97661 1.02734 
100 0.0 5 100 0.01 5 0.99916 12.00000 0.99916 11.99737 0.99586 11.65158 0.99653 9.94317 0.98232 3.50360 0.95896 1.80984 
100 0.0 5 100 0.01 5 0.99916 11.99493 0.99916 11.94321 0.98159 11.04782 0.97957 9.79766 0.98423 3.98194 0.95214 2.01221 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99902 0.99867 11.89030 0.99409 10.89503 0.99448 5.70730 0.95673 1.84317 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99444 0.99379 11.62905 0.98771 10.40667 0.98988 4.62803 0.95903 1.81878 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.98761 0.98554 11.38639 0.98126 10.00791 0.97658 3.91535 0.95987 1.67370 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99249 0.99818 11.88914 0.98989 10.97358 0.96625 3.88659 0.93008 1.81154 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99396 0.99769 11.19676 0.99598 6.78591 0.99457 2.45366 0.98985 1.03698 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.98517 0.98899 11.31878 0.98879 7.91309 0.98442 2.89987 0.97179 1.59146 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.99249 0.99555 11.37715 0.99166 9.09476 0.99400 2.84478 0.97677 1.49693 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99756 0.98267 10.53253 0.98933 7.15128 0.98213 2.94293 0.97145 1.54912 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99902 0.98678 11.28494 0.98307 8.51769 0.97750 2.74972 0.96429 1.42569 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.98419 0.97660 11.44272 0.96512 9.62741 0.97460 5.11475 0.94439 2.27086 
100 0.0 5 100 1.0 5 0.99916 11.99902 0.99916 11.99902 0.99818 11.72003 0.98942 8.88956 0.97055 2.86806 0.94790 1.49290 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.94133 0.98424 11.24325 0.97892 9.34747 0.98523 3.84947 0.96848 1.79851 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.98761 0.98979 11.42651 0.99252 9.57508 0.99421 4.06225 0.98650 1.69329 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.93340 0.99616 11.59125 0.98833 9.49670 0.99322 2.87374 0.98377 1.52028 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99902 0.99818 11.83106 0.98258 9.95027 0.96430 6.20370 0.89161 1.67381 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99493 0.99582 11.52428 0.99291 9.62841 0.97650 4.35124 0.95029 1.46561 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99902 0.99848 11.92150 0.99751 11.08658 0.97576 5.31256 0.93137 1.74339 
100 0.0 5 100 1.0 5 0.99916 11.99902 0.99916 11.95196 0.99653 11.60945 0.99382 9.37184 0.98641 3.07489 0.96455 1.84449 
100 0.0 5 100 1.0 5 0.99916 12.00000 0.99916 11.99365 0.99525 11.75261 0.96571 9.46729 0.96187 4.38227 0.91381 2.20140 
100 0.0 5 100 10.0 5 0.99916 11.99805 0.99916 11.96466 0.99769 11.77029 0.99818 10.44479 0.99050 3.68467 0.95921 1.79214 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99805 0.99042 11.34309 0.99134 8.88625 0.99388 3.07538 0.98294 1.64794 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.98321 0.99021 11.43791 0.98826 10.39659 0.99330 4.87623 0.96710 2.17869 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99493 0.96905 11.06416 0.97395 10.54723 0.96637 4.74606 0.94711 2.01663 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99444 0.98933 11.25339 0.99488 8.43117 0.99277 2.84980 0.98114 1.67745 
100 0.0 5 100 10.0 5 0.99916 11.99805 0.99916 11.98712 0.99751 11.70950 0.99244 10.35819 0.99197 4.72277 0.94468 1.92349 
100 0.0 5 100 10.0 5 0.99916 11.98175 0.99916 11.98712 0.99848 11.80840 0.99653 10.85433 0.98088 4.18624 0.95532 1.93214 
100 0.0 5 100 10.0 5 0.99916 11.99902 0.99916 11.99396 0.98921 11.86488 0.97298 8.63216 0.97642 3.85340 0.95790 1.82423 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99298 0.99535 11.80345 0.99427 10.49395 0.97891 3.40664 0.94466 1.85094 
100 0.0 5 100 10.0 5 0.99916 11.99902 0.99916 11.99737 0.99867 11.87308 0.99433 10.66091 0.98016 4.17171 0.95019 2.02772 
100 10.0 5 100 0.0 5 0.99916 11.99805 0.99916 11.99023 0.99867 11.87448 0.99305 10.43171 0.96145 4.98437 0.90187 2.30009 
100 10.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99902 0.99916 11.94891 0.99488 9.26514 0.99252 2.68659 0.97446 1.44553 
