trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.98761 0.99256 11.58796 0.99788 10.49058 0.99053 4.15029 0.97016 1.78002 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99786 0.99476 11.92749 0.99284 10.60756 0.97947 5.13331 0.95162 1.71324 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99902 0.99574 11.83035 0.98610 8.38776 0.98653 3.24211 0.97476 1.68960 
100 0.0 5 100 0.1 5 0.99916 11.99805 0.99916 11.99902 0.99867 11.88157 0.99302 9.21157 0.99060 2.82072 0.97823 1.54989 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99591 0.99818 11.87678 0.99867 9.07014 0.99590 2.93702 0.98877 1.45110 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99493 0.99769 11.77853 0.99388 8.52512 0.98843 3.21293 0.95284 1.34216 
100 0.0 5 100 0.1 5 0.99916 11.97931 0.99916 11.99591 0.99635 11.58135 0.98946 10.24443 0.97613 3.86982 0.96545 1.89942 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99591 0.99818 11.84331 0.99061 11.27360 0.98406 5.83378 0.92579 2.34358 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99444 0.98989 11.29938 0.98485 7.59408 0.97477 2.71575 0.95453 1.26604 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.99151 0.99769 10.44463 0.99828 7.70299 0.99086 2.80468 0.98688 1.10064 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.97314 0.99379 11.74153 0.99274 7.82870 0.98557 3.87564 0.96392 1.16916 
100 0.0 5 100 0.001 5 0.99916 11.99902 0.99916 11.99591 0.99555 11.81634 0.97986 10.03065 0.98774 4.12222 0.96096 1.91093 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99902 0.99818 11.91882 0.99183 11.40189 0.98993 7.06981 0.93082 2.52912 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99249 0.99391 11.61760 0.99254 9.03335 0.98633 3.45684 0.96416 1.26090 
100 0.0 5 100 0.001 5 0.99916 11.99902 0.99916 11.99103 0.99867 11.75028 0.99769 7.66869 0.99513 3.40082 0.97534 1.40423 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99444 0.99525 11.91918 0.97225 10.87737 0.95926 6.37144 0.88626 2.13858 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99854 0.97129 10.70062 0.95930 7.78541 0.95963 3.53390 0.94564 1.72192 
100 0.0 5 100 0.001 5 0.99916 11.99902 0.99916 11.94157 0.99077 10.27973 0.99073 5.77973 0.99082 2.29745 0.98054 1.38532 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99493 0.99702 11.79713 0.97917 9.88714 0.96783 4.30677 0.94195 2.12139 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.98224 0.99094 11.48235 0.99800 9.44548 0.99449 3.96924 0.97416 1.62594 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99298 0.99818 11.82589 0.99583 8.42917 0.99147 2.73352 0.98421 1.43281 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99493 0.99732 11.56760 0.99053 7.36057 0.98575 3.02502 0.97140 1.04484 
100 0.0 5 100 10.0 5 0.99916 11.99902 0.99916 11.99347 0.99354 11.34903 0.98168 8.86227 0.97607 3.28308 0.96587 1.83916 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99902 0.99916 11.97607 0.99165 11.30320 0.98633 5.17161 0.92427 2.04213 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99444 0.98475 11.42684 0.97380 9.24787 0.96501 5.81514 0.91370 2.15356 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99737 0.96785 10.79106 0.96336 8.92080 0.95995 3.79017 0.94291 2.16129 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99591 0.99769 11.82354 0.99818 10.51536 0.97405 3.39551 0.95195 1.57052 
100 0.0 5 100 0.1 5 0.99916 11.99902 0.99916 11.99737 0.99769 11.76241 0.99623 9.46042 0.98493 2.68962 0.97392 1.47526 
100 0.0 5 100 10.0 5 0.99916 11.99072 0.99916 11.99689 0.99054 10.59344 0.99867 8.52646 0.98842 2.98069 0.97913 1.06113 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99902 0.99672 11.89476 0.98568 10.58029 0.98887 4.16557 0.95993 1.85864 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99103 0.99614 11.24860 0.99836 8.58029 0.99798 3.00934 0.98815 1.61612 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99444 0.99623 11.79103 0.98719 10.36241 0.96724 3.93341 0.93988 1.92149 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99658 0.99122 11.51353 0.98316 10.05757 0.96274 3.71172 0.93660 1.74509 
100 0.0 5 100 0.1 5 0.99916 11.99512 0.99916 11.98370 0.99391 11.89359 0.99178 9.22626 0.98792 2.94163 0.97168 1.70934 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99805 0.99916 11.92949 0.99525 10.73537 0.98865 4.81856 0.95205 1.86544 
100 0.0 5 100 0.001 5 0.99916 11.99902 0.99916 11.97150 0.99916 11.70614 0.99506 7.39261 0.99129 2.97767 0.98194 1.40707 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99902 0.95836 10.94221 0.95744 8.93970 0.96540 4.53997 0.94108 2.16554 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99902 0.99672 11.80885 0.99720 10.94617 0.97857 3.66583 0.95067 1.72788 
100 0.0 5 100 0.001 5 0.99916 12.00000 0.99916 11.99786 0.99916 11.86625 0.99867 10.01575 0.99048 4.03361 0.97979 1.77412 
100 0.0 5 100 0.1 5 0.99916 12.00000 0.99916 11.99737 0.99751 11.88065 0.99263 10.66477 0.98596 4.10212 0.95332 1.89788 
100 0.0 5 100 10.0 5 0.99916 12.00000 0.99916 11.99591 0.99702 11.81192 0.99384 9.64819 0.98025 3.48753 0.92488 1.29841 
