trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.0 5 0.99916 11.89776 0.99867 11.76981 0.92092 7.67001 0.82687 4.02431 0.66406 1.55516 0.82670 2.57882 
100 0.0 5 100 0.0 5 0.99916 11.99805 0.98853 11.77732 0.93125 6.91793 0.86068 3.41219 0.81596 3.17421 0.87469 2.06028 
100 0.0 5 100 0.0 5 0.98276 11.71377 0.98753 11.64532 0.96111 9.62049 0.94489 6.19430 0.87348 3.08468 0.85969 2.57184 
100 0.0 5 100 0.0 5 0.99379 11.96195 0.96747 11.30396 0.93253 7.99307 0.90961 4.91033 0.86476 1.79976 0.86433 1.90440 
100 0.0 5 100 0.001 5 0.99916 11.95604 0.95714 10.66368 0.83175 7.25128 0.85362 6.49202 0.78157 3.61835 0.77684 2.99955 
100 0.0 5 100 0.001 5 0.99916 11.87962 0.99079 10.95721 0.88799 6.55867 0.83590 3.21339 0.71463 2.02988 0.80194 2.56002 
100 0.0 5 100 0.001 5 0.99916 11.99591 0.85247 11.06261 0.80741 9.78689 0.86002 7.95482 0.82221 3.88392 0.82827 2.57297 
100 0.0 5 100 0.001 5 0.99916 11.99756 0.99146 11.80762 0.97669 10.27392 0.87585 6.44468 0.87875 3.47191 0.88755 2.16702 
100 0.0 5 100 0.001 5 0.99916 11.99902 0.98127 11.59631 0.96198 10.75967 0.90802 6.02168 0.82059 3.13006 0.86048 2.42515 
100 0.0 5 100 0.0001 5 0.99916 11.84191 0.99555 11.75573 0.96293 9.99697 0.85294 4.79231 0.80585 2.50442 0.79220 2.39239 
100 0.0 5 100 0.0001 5 0.99916 11.97887 0.94433 11.34271 0.93732 9.58946 0.88869 5.19614 0.84017 2.13639 0.84726 2.43399 
100 0.0 5 100 0.0001 5 0.99916 11.96696 0.99555 11.61811 0.69577 6.03421 0.77606 4.58127 0.88545 2.96750 0.89899 2.52721 
